# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
NOEYYRYH;60;2017-07-31 01:13:01 UTC;0.00;1127.58;1001.25;0.00;605.15;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:14:01 UTC;0.00;30.74;805.29;0.00;393.46;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:15:01 UTC;0.00;1122.31;1018.26;0.00;608.14;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:16:01 UTC;0.00;24.28;830.15;0.00;407.00;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:17:01 UTC;0.00;1123.90;950.44;0.00;591.00;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:18:01 UTC;0.00;28.68;848.39;0.00;399.83;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:19:01 UTC;0.00;1130.90;1024.73;0.00;721.36;110.99;0.00;110.99;100.00
NOEYYRYH;60;2017-07-31 01:20:01 UTC;4.20;22.28;787.81;0.07;514.51;123.82;0.00;123.82;100.00
NOEYYRYH;60;2017-07-31 01:21:01 UTC;0.00;1124.25;1032.42;0.00;798.58;183.50;0.00;183.50;100.00
NOEYYRYH;60;2017-07-31 01:22:01 UTC;0.00;24.28;796.98;0.00;392.03;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:23:01 UTC;0.00;1127.90;1020.61;0.00;802.83;192.10;0.00;192.10;100.00
NOEYYRYH;60;2017-07-31 01:24:01 UTC;0.00;32.22;763.15;0.00;385.54;0.00;0.00;0.00;0.00
NOEYYRYH;60;2017-07-31 01:25:01 UTC;0.00;1124.28;1035.59;0.00;758.19;149.43;0.00;149.43;100.00
NOEYYRYH;60;2017-07-31 01:26:01 UTC;0.00;23.80;829.64;0.00;478.53;76.81;0.00;76.81;100.00
NOEYYRYH;60;2017-07-31 01:27:01 UTC;0.07;1125.67;985.74;0.00;726.71;128.11;0.00;128.11;100.00
NOEYYRYH;60;2017-07-31 01:28:01 UTC;0.00;28.47;808.25;0.00;467.34;72.55;0.00;72.55;100.00
NOEYYRYH;60;2017-07-31 01:29:01 UTC;0.00;1130.43;1015.46;0.00;753.88;145.14;0.00;145.14;100.00
